Activity,Health Goal,Duration (minutes),Calories Burned,Satisfaction Score,Frequency Per Week,Equipment Required,Intensity Level,Age Group,Cost (USD),Benefits,User Feedback,Workout Type
Yoga,Mental Clarity,74,507,6,4,None,High,Seniors,50,Enhances muscle strength,Yoga was very satisfying!,Aerobic
Zumba,Weight Loss,90,159,4,3,Bicycle,Low,Teens,4,Improves mood,I did not enjoy Zumba.,Aerobic
Running,Mental Clarity,28,336,10,4,"Mat, Reformer",High,Teens,16,Improves mood,Running was very satisfying!,Flexibility
Cycling,Overall Fitness,47,170,4,1,None,High,Teens,49,Boosts flexibility,I did not enjoy Cycling.,Flexibility
HIIT,Mental Clarity,79,243,9,3,None,Low,Seniors,32,Promotes mental clarity,HIIT was very satisfying!,Strength
Zumba,Flexibility,75,333,6,3,Bicycle,Medium,Teens,40,Promotes mental clarity,Zumba was very satisfying!,Balance
Yoga,Weight Loss,71,507,7,6,Bicycle,Low,Seniors,44,Enhances muscle strength,Yoga was very satisfying!,Flexibility
Zumba,Mental Clarity,107,180,6,4,Weights,High,Teens,49,Improves cardiovascular health,Zumba was very satisfying!,Flexibility
Meditation,Cardiovascular Fitness,67,391,8,6,None,Low,Adults,36,Enhances muscle strength,Meditation was very satisfying!,Mixed
Zumba,Overall Fitness,105,429,9,7,Weights,High,Seniors,21,Aids in weight loss,Zumba was very satisfying!,Balance
Weight Lifting,Muscle Gain,76,599,7,2,None,High,Seniors,8,Enhances endurance,Weight Lifting was very satisfying!,Balance
Swimming,Muscle Gain,21,353,1,7,Yoga Mat,High,Teens,32,Increases balance,I did not enjoy Swimming.,Strength
Swimming,Mental Clarity,55,415,10,4,Bicycle,Medium,Adults,26,Improves mood,Swimming was very satisfying!,Aerobic
Walking,Weight Loss,61,322,7,6,None,Low,Seniors,37,Aids in weight loss,Walking was very satisfying!,Mixed
Kickboxing,Cardiovascular Fitness,72,333,6,1,Yoga Mat,Low,Teens,22,Aids in weight loss,Kickboxing was very satisfying!,Strength
Yoga,Weight Loss,27,380,8,4,Swimming Costume,Low,Teens,33,Enhances endurance,Yoga was very satisfying!,Mixed
Zumba,Overall Fitness,86,240,5,4,Boxing Gloves,Low,Adults,29,Boosts flexibility,I did not enjoy Zumba.,Balance
Pilates,Mental Clarity,105,360,3,4,Climbing Gear,Low,Seniors,40,Boosts flexibility,I did not enjoy Pilates.,Aerobic
Zumba,Mental Clarity,50,386,7,6,"Mat, Reformer",Low,Teens,34,Improves cardiovascular health,Zumba was very satisfying!,Mixed
Zumba,Flexibility,30,192,5,7,Weights,Low,Seniors,14,Improves cardiovascular health,I did not enjoy Zumba.,Aerobic
Swimming,Weight Loss,55,348,6,5,Boxing Gloves,High,Seniors,14,Improves mood,Swimming was very satisfying!,Aerobic
Rock Climbing,Overall Fitness,56,396,3,7,Weights,Medium,Seniors,38,Increases balance,I did not enjoy Rock Climbing.,Flexibility
Kickboxing,Mental Clarity,25,255,10,2,Climbing Gear,Medium,Adults,14,Promotes mental clarity,Kickboxing was very satisfying!,Strength
Walking,Overall Fitness,106,433,5,7,None,High,Teens,42,Enhances muscle strength,I did not enjoy Walking.,Flexibility
Swimming,Weight Loss,68,192,9,2,Bicycle,Low,Adults,13,Aids in weight loss,Swimming was very satisfying!,Aerobic
Pilates,Muscle Gain,104,241,5,3,Climbing Gear,Low,Adults,16,Improves cardiovascular health,I did not enjoy Pilates.,Mixed
Cycling,Overall Fitness,28,478,4,2,Swimming Costume,Medium,Adults,49,Improves cardiovascular health,I did not enjoy Cycling.,Strength
HIIT,Cardiovascular Fitness,67,347,9,3,Swimming Costume,High,Teens,2,Boosts flexibility,HIIT was very satisfying!,Balance
Yoga,Muscle Gain,39,219,3,5,"Mat, Reformer",Medium,Adults,11,Enhances muscle strength,I did not enjoy Yoga.,Mixed
Kickboxing,Overall Fitness,26,334,10,5,Bicycle,High,Adults,28,Increases balance,Kickboxing was very satisfying!,Balance
HIIT,Flexibility,110,525,7,3,Bicycle,High,Teens,10,Aids in weight loss,HIIT was very satisfying!,Mixed
Meditation,Flexibility,21,250,1,2,None,Low,Seniors,13,Enhances muscle strength,I did not enjoy Meditation.,Mixed
Running,Mental Clarity,69,248,7,6,Climbing Gear,Medium,Adults,11,Enhances endurance,Running was very satisfying!,Aerobic
Walking,Muscle Gain,64,572,9,1,None,Medium,Seniors,17,Improves cardiovascular health,Walking was very satisfying!,Balance
Rock Climbing,Cardiovascular Fitness,107,387,5,5,Weights,Medium,Teens,12,Improves mood,I did not enjoy Rock Climbing.,Mixed
Rock Climbing,Muscle Gain,44,427,3,2,"Mat, Reformer",High,Teens,28,Improves cardiovascular health,I did not enjoy Rock Climbing.,Balance
Swimming,Mental Clarity,60,404,2,1,Yoga Mat,Medium,Adults,46,Enhances muscle strength,I did not enjoy Swimming.,Aerobic
Weight Lifting,Muscle Gain,97,496,6,4,None,High,Seniors,45,Increases balance,Weight Lifting was very satisfying!,Strength
Zumba,Muscle Gain,39,578,5,4,Climbing Gear,High,Teens,6,Increases balance,I did not enjoy Zumba.,Flexibility
Yoga,Overall Fitness,75,380,2,6,Swimming Costume,Medium,Seniors,35,Increases balance,I did not enjoy Yoga.,Strength
Cycling,Weight Loss,113,382,3,7,Yoga Mat,Low,Seniors,30,Boosts flexibility,I did not enjoy Cycling.,Strength
Walking,Cardiovascular Fitness,36,489,6,5,None,Medium,Teens,10,Improves cardiovascular health,Walking was very satisfying!,Balance
Meditation,Muscle Gain,24,279,5,3,None,High,Seniors,11,Promotes mental clarity,I did not enjoy Meditation.,Balance
Meditation,Overall Fitness,97,411,6,4,None,High,Adults,7,Enhances endurance,Meditation was very satisfying!,Flexibility
Yoga,Muscle Gain,119,555,10,3,Boxing Gloves,Low,Adults,2,Promotes mental clarity,Yoga was very satisfying!,Aerobic
Running,Muscle Gain,106,407,10,6,Yoga Mat,Medium,Teens,5,Improves cardiovascular health,Running was very satisfying!,Aerobic
Zumba,Cardiovascular Fitness,42,194,6,6,Boxing Gloves,Low,Seniors,17,Promotes mental clarity,Zumba was very satisfying!,Mixed
Cycling,Flexibility,22,279,8,3,Yoga Mat,Medium,Teens,30,Improves mood,Cycling was very satisfying!,Balance
Zumba,Mental Clarity,59,166,6,1,Bicycle,Low,Teens,49,Enhances muscle strength,Zumba was very satisfying!,Mixed
Weight Lifting,Weight Loss,47,299,6,1,Weights,Low,Teens,41,Enhances endurance,Weight Lifting was very satisfying!,Strength
Running,Muscle Gain,45,424,8,3,None,Low,Teens,34,Aids in weight loss,Running was very satisfying!,Aerobic
Yoga,Cardiovascular Fitness,102,171,4,7,Bicycle,High,Adults,8,Promotes mental clarity,I did not enjoy Yoga.,Mixed
Yoga,Overall Fitness,30,474,6,5,Weights,Medium,Teens,3,Enhances endurance,Yoga was very satisfying!,Aerobic
Swimming,Cardiovascular Fitness,70,540,5,3,"Mat, Reformer",High,Adults,24,Enhances endurance,I did not enjoy Swimming.,Aerobic
Swimming,Muscle Gain,102,423,8,5,Bicycle,Medium,Adults,5,Enhances muscle strength,Swimming was very satisfying!,Balance
Walking,Overall Fitness,58,229,10,3,None,Medium,Teens,0,Aids in weight loss,Walking was very satisfying!,Balance
HIIT,Weight Loss,84,241,1,3,"Mat, Reformer",High,Teens,43,Enhances endurance,I did not enjoy HIIT.,Balance
Zumba,Muscle Gain,60,524,10,3,"Mat, Reformer",Medium,Seniors,43,Boosts flexibility,Zumba was very satisfying!,Strength
Zumba,Weight Loss,76,445,4,6,Weights,High,Adults,29,Promotes mental clarity,I did not enjoy Zumba.,Strength
Swimming,Flexibility,21,528,3,2,None,High,Seniors,37,Improves mood,I did not enjoy Swimming.,Balance
Kickboxing,Muscle Gain,103,204,8,1,Bicycle,Low,Adults,33,Boosts flexibility,Kickboxing was very satisfying!,Balance
Rock Climbing,Muscle Gain,90,591,6,6,Yoga Mat,Low,Teens,3,Aids in weight loss,Rock Climbing was very satisfying!,Balance
Walking,Flexibility,37,336,2,2,None,High,Teens,43,Improves cardiovascular health,I did not enjoy Walking.,Balance
Running,Overall Fitness,44,169,6,3,Bicycle,Low,Seniors,36,Improves mood,Running was very satisfying!,Mixed
Walking,Weight Loss,34,530,6,1,None,High,Teens,21,Improves cardiovascular health,Walking was very satisfying!,Aerobic
Rock Climbing,Muscle Gain,71,540,2,2,"Mat, Reformer",Medium,Adults,26,Boosts flexibility,I did not enjoy Rock Climbing.,Mixed
Zumba,Weight Loss,58,370,10,7,Bicycle,High,Adults,8,Aids in weight loss,Zumba was very satisfying!,Balance
Zumba,Weight Loss,100,293,4,1,Swimming Costume,Medium,Seniors,39,Boosts flexibility,I did not enjoy Zumba.,Flexibility
Dance,Flexibility,30,302,10,4,Swimming Costume,Medium,Adults,28,Improves cardiovascular health,Dance was very satisfying!,Aerobic
Walking,Mental Clarity,46,549,10,4,None,Low,Adults,17,Enhances muscle strength,Walking was very satisfying!,Aerobic
Zumba,Cardiovascular Fitness,38,228,3,6,Weights,Medium,Seniors,44,Improves cardiovascular health,I did not enjoy Zumba.,Strength
Yoga,Muscle Gain,96,596,3,2,Yoga Mat,Low,Seniors,49,Aids in weight loss,I did not enjoy Yoga.,Mixed
Dance,Weight Loss,114,441,6,1,Climbing Gear,Low,Adults,4,Promotes mental clarity,Dance was very satisfying!,Mixed
Rock Climbing,Cardiovascular Fitness,112,365,8,4,Boxing Gloves,Low,Teens,28,Enhances endurance,Rock Climbing was very satisfying!,Mixed
Cycling,Muscle Gain,67,359,4,3,Weights,Low,Adults,42,Enhances endurance,I did not enjoy Cycling.,Flexibility
Rock Climbing,Mental Clarity,46,339,10,7,"Mat, Reformer",Medium,Seniors,1,Improves cardiovascular health,Rock Climbing was very satisfying!,Aerobic
Weight Lifting,Mental Clarity,118,568,5,6,Bicycle,High,Seniors,11,Improves mood,I did not enjoy Weight Lifting.,Mixed
Kickboxing,Weight Loss,58,484,4,6,None,Medium,Seniors,31,Improves mood,I did not enjoy Kickboxing.,Flexibility
Cycling,Mental Clarity,35,168,8,5,Weights,Medium,Adults,26,Increases balance,Cycling was very satisfying!,Strength
Cycling,Overall Fitness,84,298,10,1,Bicycle,Medium,Teens,35,Improves mood,Cycling was very satisfying!,Aerobic
Meditation,Muscle Gain,98,186,10,6,None,High,Adults,25,Boosts flexibility,Meditation was very satisfying!,Flexibility
Weight Lifting,Weight Loss,113,466,10,4,"Mat, Reformer",High,Seniors,26,Increases balance,Weight Lifting was very satisfying!,Strength
Swimming,Mental Clarity,89,302,2,1,Yoga Mat,High,Adults,28,Improves cardiovascular health,I did not enjoy Swimming.,Flexibility
Kickboxing,Weight Loss,37,368,1,5,Boxing Gloves,Low,Adults,18,Boosts flexibility,I did not enjoy Kickboxing.,Balance
Zumba,Mental Clarity,88,284,1,3,Swimming Costume,High,Seniors,26,Enhances endurance,I did not enjoy Zumba.,Flexibility
Weight Lifting,Mental Clarity,92,209,4,3,None,Medium,Teens,31,Boosts flexibility,I did not enjoy Weight Lifting.,Mixed
Swimming,Muscle Gain,101,385,9,7,Swimming Costume,Low,Seniors,27,Aids in weight loss,Swimming was very satisfying!,Mixed
Weight Lifting,Mental Clarity,28,285,8,4,Bicycle,Medium,Seniors,8,Increases balance,Weight Lifting was very satisfying!,Flexibility
Zumba,Weight Loss,112,160,10,7,"Mat, Reformer",Medium,Teens,29,Boosts flexibility,Zumba was very satisfying!,Flexibility
Cycling,Flexibility,69,169,5,7,Weights,High,Adults,22,Boosts flexibility,I did not enjoy Cycling.,Balance
Walking,Muscle Gain,98,301,9,6,None,Medium,Seniors,15,Improves mood,Walking was very satisfying!,Aerobic
Meditation,Cardiovascular Fitness,23,339,5,5,None,Medium,Teens,23,Boosts flexibility,I did not enjoy Meditation.,Flexibility
HIIT,Overall Fitness,115,249,3,5,"Mat, Reformer",Low,Seniors,15,Boosts flexibility,I did not enjoy HIIT.,Balance
Pilates,Overall Fitness,104,456,5,2,Swimming Costume,Medium,Teens,45,Enhances endurance,I did not enjoy Pilates.,Aerobic
Pilates,Flexibility,89,245,6,6,Bicycle,High,Adults,32,Promotes mental clarity,Pilates was very satisfying!,Balance
Yoga,Weight Loss,30,185,10,6,Boxing Gloves,Medium,Adults,37,Increases balance,Yoga was very satisfying!,Flexibility
Pilates,Cardiovascular Fitness,90,425,1,1,Yoga Mat,Low,Teens,7,Enhances muscle strength,I did not enjoy Pilates.,Strength
Weight Lifting,Flexibility,116,372,3,5,Swimming Costume,High,Adults,2,Increases balance,I did not enjoy Weight Lifting.,Flexibility
Pilates,Mental Clarity,25,298,8,1,Swimming Costume,Medium,Teens,32,Enhances muscle strength,Pilates was very satisfying!,Mixed
Weight Lifting,Flexibility,31,553,10,4,"Mat, Reformer",High,Seniors,30,Improves mood,Weight Lifting was very satisfying!,Mixed
HIIT,Muscle Gain,82,160,3,6,Boxing Gloves,Low,Teens,3,Promotes mental clarity,I did not enjoy HIIT.,Strength
Zumba,Mental Clarity,98,449,1,3,Yoga Mat,Low,Teens,4,Enhances muscle strength,I did not enjoy Zumba.,Flexibility
Meditation,Mental Clarity,20,486,6,3,None,High,Teens,49,Improves cardiovascular health,Meditation was very satisfying!,Strength
Running,Mental Clarity,39,282,3,3,Bicycle,Medium,Teens,5,Aids in weight loss,I did not enjoy Running.,Balance
Meditation,Mental Clarity,107,339,3,6,None,High,Seniors,29,Promotes mental clarity,I did not enjoy Meditation.,Mixed
Pilates,Cardiovascular Fitness,52,256,2,3,Swimming Costume,Low,Adults,24,Enhances muscle strength,I did not enjoy Pilates.,Mixed
Meditation,Cardiovascular Fitness,71,392,9,7,None,High,Teens,50,Improves mood,Meditation was very satisfying!,Flexibility
Running,Weight Loss,108,518,2,7,Yoga Mat,High,Adults,26,Enhances muscle strength,I did not enjoy Running.,Strength
Pilates,Weight Loss,29,499,5,2,Bicycle,High,Adults,12,Aids in weight loss,I did not enjoy Pilates.,Aerobic
Meditation,Flexibility,90,414,4,2,None,Low,Adults,50,Increases balance,I did not enjoy Meditation.,Flexibility
HIIT,Cardiovascular Fitness,70,216,1,5,"Mat, Reformer",Medium,Adults,43,Increases balance,I did not enjoy HIIT.,Balance
Walking,Muscle Gain,88,503,10,7,None,Medium,Seniors,37,Improves cardiovascular health,Walking was very satisfying!,Flexibility
Meditation,Muscle Gain,106,263,3,3,None,Low,Adults,30,Aids in weight loss,I did not enjoy Meditation.,Mixed
Zumba,Cardiovascular Fitness,104,244,7,1,Swimming Costume,Low,Teens,24,Improves cardiovascular health,Zumba was very satisfying!,Balance
Rock Climbing,Flexibility,56,562,6,5,Boxing Gloves,Medium,Teens,25,Aids in weight loss,Rock Climbing was very satisfying!,Balance
Yoga,Overall Fitness,46,303,6,1,Weights,Low,Seniors,24,Enhances muscle strength,Yoga was very satisfying!,Balance
Zumba,Weight Loss,117,540,4,7,Climbing Gear,Medium,Adults,4,Enhances muscle strength,I did not enjoy Zumba.,Mixed
Zumba,Mental Clarity,22,213,1,7,Boxing Gloves,Medium,Adults,40,Enhances endurance,I did not enjoy Zumba.,Balance
Kickboxing,Weight Loss,32,522,4,2,Boxing Gloves,Medium,Teens,48,Boosts flexibility,I did not enjoy Kickboxing.,Flexibility
Walking,Mental Clarity,93,294,10,1,None,Medium,Seniors,39,Increases balance,Walking was very satisfying!,Flexibility
Walking,Overall Fitness,50,389,1,3,None,High,Teens,4,Promotes mental clarity,I did not enjoy Walking.,Aerobic
Rock Climbing,Mental Clarity,27,359,4,4,Yoga Mat,Low,Seniors,10,Enhances endurance,I did not enjoy Rock Climbing.,Mixed
Walking,Muscle Gain,112,243,7,1,None,Medium,Adults,46,Enhances muscle strength,Walking was very satisfying!,Mixed
Running,Cardiovascular Fitness,29,219,7,1,Climbing Gear,High,Teens,6,Aids in weight loss,Running was very satisfying!,Aerobic
Meditation,Cardiovascular Fitness,74,427,8,6,None,Low,Adults,4,Aids in weight loss,Meditation was very satisfying!,Aerobic
Meditation,Flexibility,76,465,3,5,None,High,Seniors,5,Promotes mental clarity,I did not enjoy Meditation.,Aerobic
Cycling,Cardiovascular Fitness,56,418,8,7,"Mat, Reformer",High,Seniors,29,Enhances endurance,Cycling was very satisfying!,Flexibility
Yoga,Mental Clarity,44,410,1,3,None,High,Teens,50,Aids in weight loss,I did not enjoy Yoga.,Balance
Kickboxing,Overall Fitness,24,590,4,6,Boxing Gloves,Low,Seniors,21,Boosts flexibility,I did not enjoy Kickboxing.,Balance
Dance,Overall Fitness,72,375,1,4,None,High,Seniors,36,Boosts flexibility,I did not enjoy Dance.,Flexibility
HIIT,Flexibility,47,531,7,1,Yoga Mat,Medium,Adults,49,Enhances endurance,HIIT was very satisfying!,Aerobic
Meditation,Overall Fitness,58,391,1,1,None,Medium,Seniors,32,Improves cardiovascular health,I did not enjoy Meditation.,Flexibility
Meditation,Cardiovascular Fitness,64,315,7,3,None,Low,Adults,7,Increases balance,Meditation was very satisfying!,Strength
Dance,Overall Fitness,20,504,4,1,Swimming Costume,Low,Teens,26,Improves cardiovascular health,I did not enjoy Dance.,Strength
Kickboxing,Flexibility,32,577,6,1,Bicycle,Medium,Seniors,24,Promotes mental clarity,Kickboxing was very satisfying!,Strength
Yoga,Overall Fitness,41,291,6,7,None,Medium,Teens,19,Enhances muscle strength,Yoga was very satisfying!,Flexibility
Zumba,Flexibility,108,377,6,6,None,Low,Adults,3,Aids in weight loss,Zumba was very satisfying!,Aerobic
Yoga,Cardiovascular Fitness,100,174,1,5,Boxing Gloves,High,Seniors,9,Increases balance,I did not enjoy Yoga.,Flexibility
Swimming,Flexibility,115,575,6,7,"Mat, Reformer",Medium,Adults,47,Increases balance,Swimming was very satisfying!,Balance
Meditation,Cardiovascular Fitness,93,417,8,2,None,Medium,Adults,3,Increases balance,Meditation was very satisfying!,Mixed
Kickboxing,Flexibility,95,390,8,2,Climbing Gear,High,Seniors,33,Improves mood,Kickboxing was very satisfying!,Mixed
Yoga,Cardiovascular Fitness,41,271,9,7,Boxing Gloves,Low,Teens,11,Aids in weight loss,Yoga was very satisfying!,Balance
Pilates,Cardiovascular Fitness,52,153,1,2,Weights,Low,Teens,25,Promotes mental clarity,I did not enjoy Pilates.,Mixed
Cycling,Cardiovascular Fitness,63,509,4,1,Climbing Gear,Medium,Adults,15,Improves mood,I did not enjoy Cycling.,Balance
Dance,Overall Fitness,79,384,10,1,None,Low,Seniors,24,Enhances muscle strength,Dance was very satisfying!,Mixed
Meditation,Cardiovascular Fitness,100,598,6,2,None,High,Teens,43,Enhances muscle strength,Meditation was very satisfying!,Strength
Yoga,Mental Clarity,39,508,1,4,"Mat, Reformer",High,Seniors,2,Improves mood,I did not enjoy Yoga.,Strength
Dance,Muscle Gain,25,328,2,7,Swimming Costume,Low,Seniors,35,Promotes mental clarity,I did not enjoy Dance.,Balance
Zumba,Overall Fitness,98,408,2,1,Swimming Costume,High,Seniors,18,Enhances endurance,I did not enjoy Zumba.,Balance
Cycling,Muscle Gain,66,511,6,2,Weights,Medium,Seniors,48,Aids in weight loss,Cycling was very satisfying!,Aerobic
Running,Muscle Gain,76,152,6,4,Weights,Medium,Adults,36,Improves cardiovascular health,Running was very satisfying!,Flexibility
Dance,Mental Clarity,99,500,3,6,"Mat, Reformer",Low,Teens,49,Increases balance,I did not enjoy Dance.,Mixed
Zumba,Flexibility,67,187,10,1,None,High,Seniors,45,Improves cardiovascular health,Zumba was very satisfying!,Balance
Pilates,Cardiovascular Fitness,116,416,10,5,"Mat, Reformer",Low,Teens,27,Aids in weight loss,Pilates was very satisfying!,Balance
Swimming,Mental Clarity,44,563,6,3,Boxing Gloves,High,Teens,23,Increases balance,Swimming was very satisfying!,Mixed
Swimming,Weight Loss,81,178,1,7,Weights,Medium,Seniors,50,Enhances endurance,I did not enjoy Swimming.,Strength
Yoga,Mental Clarity,36,250,7,2,Boxing Gloves,Low,Seniors,33,Enhances endurance,Yoga was very satisfying!,Aerobic
Swimming,Overall Fitness,116,592,10,7,Swimming Costume,High,Seniors,27,Promotes mental clarity,Swimming was very satisfying!,Balance
Yoga,Weight Loss,34,218,6,2,Swimming Costume,Medium,Seniors,27,Improves cardiovascular health,Yoga was very satisfying!,Strength
Running,Weight Loss,113,390,5,7,Yoga Mat,Medium,Teens,31,Improves mood,I did not enjoy Running.,Strength
Kickboxing,Mental Clarity,112,486,4,3,Swimming Costume,Medium,Teens,13,Improves cardiovascular health,I did not enjoy Kickboxing.,Balance
Pilates,Mental Clarity,88,586,8,5,Swimming Costume,High,Teens,18,Aids in weight loss,Pilates was very satisfying!,Strength
Walking,Flexibility,32,453,8,2,None,High,Seniors,39,Boosts flexibility,Walking was very satisfying!,Flexibility
Cycling,Mental Clarity,33,452,1,2,Boxing Gloves,Medium,Adults,39,Aids in weight loss,I did not enjoy Cycling.,Balance
Cycling,Cardiovascular Fitness,75,386,1,4,Yoga Mat,High,Teens,46,Increases balance,I did not enjoy Cycling.,Mixed
HIIT,Flexibility,26,205,3,2,None,Low,Teens,13,Improves mood,I did not enjoy HIIT.,Strength
Dance,Flexibility,73,351,3,1,Swimming Costume,Medium,Seniors,16,Increases balance,I did not enjoy Dance.,Balance
Walking,Flexibility,56,169,3,1,None,Medium,Adults,4,Enhances endurance,I did not enjoy Walking.,Flexibility
Swimming,Flexibility,76,576,6,3,Yoga Mat,Low,Seniors,19,Aids in weight loss,Swimming was very satisfying!,Flexibility
Walking,Cardiovascular Fitness,115,348,1,5,None,Medium,Adults,35,Improves cardiovascular health,I did not enjoy Walking.,Strength
Dance,Weight Loss,62,559,4,5,Yoga Mat,Low,Teens,18,Improves mood,I did not enjoy Dance.,Mixed
Pilates,Cardiovascular Fitness,29,474,2,2,Swimming Costume,High,Seniors,23,Enhances endurance,I did not enjoy Pilates.,Strength
HIIT,Mental Clarity,53,455,3,3,Boxing Gloves,High,Teens,49,Enhances endurance,I did not enjoy HIIT.,Balance
Zumba,Flexibility,68,363,2,7,Swimming Costume,Low,Adults,19,Promotes mental clarity,I did not enjoy Zumba.,Flexibility
Cycling,Flexibility,79,177,7,6,Climbing Gear,High,Adults,12,Improves mood,Cycling was very satisfying!,Balance
Zumba,Cardiovascular Fitness,94,318,7,1,Swimming Costume,Low,Teens,19,Improves cardiovascular health,Zumba was very satisfying!,Strength
HIIT,Overall Fitness,65,272,5,2,Weights,Low,Adults,41,Improves cardiovascular health,I did not enjoy HIIT.,Mixed
Swimming,Cardiovascular Fitness,44,483,6,5,Bicycle,Low,Adults,42,Increases balance,Swimming was very satisfying!,Flexibility
Weight Lifting,Flexibility,47,461,1,1,Bicycle,Medium,Seniors,10,Enhances endurance,I did not enjoy Weight Lifting.,Mixed
